City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,27.64,72,9,5.21,MV,1730670467
1,coahuayana de hidalgo,18.7,-103.6583,29.36,70,66,2.51,MX,1730670468
2,sumbawa besar,-8.5,117.4333,23.84,90,32,1.91,ID,1730670469
3,cabedelo,-6.9811,-34.8339,26.37,73,5,6.13,BR,1730670470
4,cidreira,-30.1811,-50.2056,21.68,85,100,6.73,BR,1730670472
5,ust-nera,64.5667,143.2,-25.11,100,99,2.27,RU,1730670473
6,la ronge,55.1001,-105.2842,3.14,87,100,4.12,CA,1730670474
7,tiksi,71.6872,128.8694,-24.72,100,98,1.95,RU,1730670475
8,alibag,18.6411,72.8792,26.41,65,7,2.42,IN,1730670476
9,west island,-12.1568,96.8225,25.99,89,75,6.69,CC,1730670478
10,remire-montjoly,4.9167,-52.2667,29.02,79,0,4.63,GF,1730670479
11,bethel,41.3712,-73.414,9.5,40,6,0.89,US,1730670480
12,kunming,25.0389,102.7183,11.96,94,75,2.0,CN,1730670481
13,katabu,-4.9333,122.5167,24.32,91,100,1.64,ID,1730670482
14,adamstown,-25.066,-130.1015,20.79,74,70,4.77,PN,1730670483
15,fisterra,42.9049,-9.2629,17.17,75,7,3.43,ES,1730670485
16,machachi,-0.5,-78.5667,11.88,92,97,2.0,EC,1730670486
17,hermanus,-34.4187,19.2345,13.78,60,100,6.91,ZA,1730670487
18,georgetown,5.4112,100.3354,26.96,88,20,1.54,MY,1730670488
19,turbat,26.0023,63.044,26.38,44,0,0.88,PK,1730670491
20,albany,42.6001,-73.9662,7.23,54,5,0.64,US,1730670492
21,wagar,16.1525,36.2032,27.88,48,24,5.09,SD,1730670493
22,blackmans bay,-43.0167,147.3167,12.07,71,100,0.89,AU,1730670494
23,bredasdorp,-34.5322,20.0403,13.6,61,100,5.39,ZA,1730670495
24,port-aux-francais,-49.35,70.2167,4.8,88,13,12.39,TF,1730670496
25,kavaratti,10.5669,72.642,27.48,77,96,1.91,IN,1730670498
26,shache,38.4167,77.2406,9.61,39,23,0.7,CN,1730670499
27,asbe teferi,9.0833,40.8667,16.38,60,54,0.56,ET,1730670500
28,edinburgh of the seven seas,-37.0676,-12.3116,12.11,68,95,6.99,SH,1730670501
29,oban,56.4127,-5.4706,10.28,82,100,1.77,GB,1730670502
30,stony plain,53.5334,-114.0021,8.18,49,0,4.12,CA,1730670504
31,cienaga,11.007,-74.2476,27.21,89,40,2.06,CO,1730670505
